selection	varLocationName		fltGovernmentTaxAmount	fltProvincialTaxAmount	fltLiquorTaxAmount	fltCostofGoods	fltSubTotal	fltProfitMargin	fltTotalSales	fltSalesDollars
02/08/2021	Golf Traders-Calgary	613.65			0			0			6974.48		12273.31	0.4561		13436.96	12823.31
03/08/2021	Golf Traders-Calgary	476.04			0			0			5988.49		9520.65		0.494		12311.68	11835.64
04/08/2021	Golf Traders-Calgary	548.98			0			0			6143.71		10979.21	0.504		12935.7		12386.72
05/08/2021	Golf Traders-Calgary	451.21			0			0			5337.53		9044.28		0.4681		10485.49	10034.28
06/08/2021	Golf Traders-Calgary	488.35			0			0			6628.94		10235.74	0.4525		12595.09	12106.74
07/08/2021	Golf Traders-Calgary	793.49			0			0			7944.94		15879.7		0.5285		17643.2		16849.71
08/08/2021	Golf Traders-Calgary	398.28			0			0			4380.67		7965.41		0.5157		9443.7		9045.42
09/08/2021	Golf Traders-Calgary	624.16			0			0			7245.02		12482.95	0.4333		13409.11	12784.95
10/08/2021	Golf Traders-Calgary	473.29			0			0			6174.42		9465.56		0.4654		12023.86	11550.57
11/08/2021	Golf Traders-Calgary	597.83			0			0			6689.48		11956.68	0.474		13314.51	12716.68
12/08/2021	Golf Traders-Calgary	484.52			0			0			5064.08		9689.97		0.4908		10429.5		9944.98
13/08/2021	Golf Traders-Calgary	721.04			0			0			7645.81		14420.64	0.5071		16231.68	15510.64
14/08/2021	Golf Traders-Calgary	555.74			0			0			6393.2		11114.86	0.4875		13030.61	12474.87
15/08/2021	Golf Traders-Calgary	636.7			0			0			8615.92		12744.12	0.4193		15474.8		14838.1
16/08/2021	Golf Traders-Calgary	333.72			0			0			3542.6		6679.44		0.5417		8063.16		7729.44
17/08/2021	Golf Traders-Calgary	669.19			0			0			8618.26		13383.7		0.4484		16293.84	15624.65
18/08/2021	Golf Traders-Calgary	296.46			0			0			3433.88		5929		0.4916		7050.46		6754
19/08/2021	Golf Traders-Calgary	346.95			0			0			4227.34		7067.88		0.4958		8730.84		8383.89
20/08/2021	Golf Traders-Calgary	495.51			0			0			6215.4		9910.08		0.4478		11750.59	11255.08
21/08/2021	Golf Traders-Calgary	656.13			0			0			7006.69		13122.39	0.4903		14403.53	13747.4
22/08/2021	Golf Traders-Calgary	377.4			0			0			3910.28		7547.93		0.5358		8800.33		8422.93
23/08/2021	Golf Traders-Calgary	428.68			0			0			5478.57		8573.46		0.4505		10399.13	9970.45
24/08/2021	Golf Traders-Calgary	327.39			0			0			4158.72		6547.59		0.4652		8103.98		7776.59
25/08/2021	Golf Traders-Calgary	417.6			0			0			5017.11		8352.15		0.5125		10709.75	10292.15
26/08/2021	Golf Traders-Calgary	361.69			0			0			4246.98		7233.66		0.475		8451.36		8089.67
27/08/2021	Golf Traders-Calgary	731.72			0			0			8774.62		14659.22	0.4516		16730.94	15999.22
28/08/2021	Golf Traders-Calgary	644.64			0			0			7240.26		12892.74	0.4768		14482.38	13837.74
29/08/2021	Golf Traders-Calgary	406.02			0			0			4921.28		8389.64		0.461		9535.66		9129.64
30/08/2021	Golf Traders-Calgary	281.36			0			0			3164.02		5647.14		0.4853		6428.5		6147.14
31/08/2021	Golf Traders-Calgary	469.18			0			0			5425.82		9383.54		0.4622		10557.72	10088.54
01/09/2021	Golf Traders-Calgary	470			0			0			6197.58		9399.65		0.4637		12027.15	11557.15
02/09/2021	Golf Traders-Calgary	275.52			0			0			3983.07		5510.06		0.4527		7553.08		7277.56
03/09/2021	Golf Traders-Calgary	586.85			0			0			7762.65		11737.05	0.4765		15416.4		14829.55
04/09/2021	Golf Traders-Calgary	607.52			0			0			7518.76		12150.23	0.4739		14897.76	14290.24
05/09/2021	Golf Traders-Calgary	182.91			0			0			2497.09		3658.06		0.4491		4715.97		4533.06
07/09/2021	Golf Traders-Calgary	481.88			0			0			6282.51		9637.53		0.4592		12099.9		11618.02
08/09/2021	Golf Traders-Calgary	243.86			0			0			2967.61		4877.02		0.4863		6020.87		5777.01
09/09/2021	Golf Traders-Calgary	277.54			0			0			3692.58		5550.58		0.5004		7668.12		7390.58
10/09/2021	Golf Traders-Calgary	380.56			0			0			4902.65		7615.87		0.428		8951.43		8570.87
11/09/2021	Golf Traders-Calgary	334.77			0			0			4016.31		6712.47		0.4765		8007.24		7672.47
12/09/2021	Golf Traders-Calgary	157.45			0			0			2086.89		3149.31		0.4808		4176.73		4019.28
13/09/2021	Golf Traders-Calgary	366.54			0			0			3915.37		7330.66		0.4688		7737.21		7370.67
14/09/2021	Golf Traders-Calgary	280.85			0			0			3235.77		5617.08		0.4763		6459.95		6179.1
15/09/2021	Golf Traders-Calgary	193.01			0			0			1682.78		3860.49		0.5984		4383.51		4190.5
16/09/2021	Golf Traders-Calgary	160.05			0			0			1877.36		3200.98		0.5048		3951.05		3791
17/09/2021	Golf Traders-Calgary	282.59			0			0			4035.54		5651.68		0.4608		7767.26		7484.67
18/09/2021	Golf Traders-Calgary	312.87			0			0			2931.66		6257.53		0.5512		6845.41		6532.54
22/09/2021	Golf Traders-Calgary	524.07			0			0			5613.12		10481.18	0.4825		11370.25	10846.18
23/09/2021	Golf Traders-Calgary	458.77			0			0			5276.24		9175.34		0.4687		10389.11	9930.34
24/09/2021	Golf Traders-Calgary	282.58			0			0			3886.91		5651.29		0.3828		6579.87		6297.29
25/09/2021	Golf Traders-Calgary	547.01			0			0			6105.83		10940.12	0.4628		11912.13	11365.12
27/09/2021	Golf Traders-Calgary	200.19			0			0			2465.62		4003.8		0.5346		5497.99		5297.8
28/09/2021	Golf Traders-Calgary	160.15			0			0			2166.66		3202.95		0.5215		4688.1		4527.95
29/09/2021	Golf Traders-Calgary	253.83			0			0			2930.18		5076.46		0.4774		5860.29		5606.46
30/09/2021	Golf Traders-Calgary	268.95			0			0			3505.15		5378.83		0.4038		6147.79		5878.84
01/10/2021	Golf Traders-Calgary	282.82			0			0			3672.14		5656.17		0.4416		6858.99		6576.17
02/10/2021	Golf Traders-Calgary	440.02			0			0			5510.17		8799.71		0.4383		10249.74	9809.72
04/10/2021	Golf Traders-Calgary	233			0			0			2995.99		4659.78		0.387		5120.28		4887.28
05/10/2021	Golf Traders-Calgary	85.86			0			0			992.34		1717.04		0.5056		2092.9		2007.04
06/10/2021	Golf Traders-Calgary	283.14			0			0			3923.54		5663.08		0.4237		7091.22		6808.08
07/10/2021	Golf Traders-Calgary	231.8			18.13			0			2884.81		4635.89		0.4594		5585.83		5335.9
08/10/2021	Golf Traders-Calgary	283.7			0			0			4173.55		5674.21		0.4142		7407.93		7124.23
09/10/2021	Golf Traders-Calgary	168.78			0			0			2037.48		3375.62		0.4		3564.4		3395.62
12/10/2021	Golf Traders-Calgary	126.42			0			0			2075.46		2528.65		0.3689		3415.06		3288.64
13/10/2021	Golf Traders-Calgary	114.29			0			0			2031.64		2645.93		0.4941		4130.22		4015.93
14/10/2021	Golf Traders-Calgary	49.16			0			0			778.78		983.23		0.5304		1707.39		1658.23
15/10/2021	Golf Traders-Calgary	177.88			0			0			2103.18		3557.59		0.5031		4410.47		4232.59
16/10/2021	Golf Traders-Calgary	222.1			0			0			2957.52		4442.07		0.462		5719.17		5497.07
18/10/2021	Golf Traders-Calgary	89.18			0			0			1349.69		1783.67		0.4241		2432.85		2343.67
19/10/2021	Golf Traders-Calgary	36.75			0			0			468.56		735.16		0.5043		981.91		945.16
20/10/2021	Golf Traders-Calgary	73			0			0			936.86		1459.94		0.4287		1712.94		1639.94
21/10/2021	Golf Traders-Calgary	58.43			0			0			538.6		1168.51		0.5391		1226.94		1168.51
22/10/2021	Golf Traders-Calgary	92.03			0			0			1518.09		1840.56		0.4802		3012.59		2920.56
23/10/2021	Golf Traders-Calgary	402.99			0			0			4611.35		8059.76		0.4821		9307.75		8904.76
25/10/2021	Golf Traders-Calgary	121.7			0			0			2012.99		2433.99		0.3056		3020.69		2898.99
26/10/2021	Golf Traders-Calgary	95.52			0			0			1323.34		1910.36		0.4309		2420.88		2325.36
27/10/2021	Golf Traders-Calgary	49.63			0			0			407.72		992.59		0.5892		1042.22		992.59
28/10/2021	Golf Traders-Calgary	109.76			0			0			1132.22		2195.1		0.4842		2304.86		2195.1
29/10/2021	Golf Traders-Calgary	123.46			0			0			1513.11		2469.35		0.4245		2752.81		2629.35
30/10/2021	Golf Traders-Calgary	190.6			0			0			3596.05		3812		0.4713		6992.6		6802
01/11/2021	Golf Traders-Calgary	54.16			0			0			549.74		1083.25		0.5938		1407.41		1353.25
02/11/2021	Golf Traders-Calgary	149.22			0			0			2001.95		2984.42		0.4263		3638.64		3489.42
03/11/2021	Golf Traders-Calgary	234.44			0			0			3521.11		4688.74		0.3717		5838.18		5603.74
04/11/2021	Golf Traders-Calgary	88.53			0			0			1057.66		1770.59		0.4779		2114.12		2025.59
05/11/2021	Golf Traders-Calgary	60.3			0			0			478.92		1206.03		0.6029		1266.33		1206.03
06/11/2021	Golf Traders-Calgary	143.48			0			0			1827.04		2869.46		0.5368		4087.95		3944.47
08/11/2021	Golf Traders-Calgary	191.14			0			0			2636.34		3822.73		0.4499		4983.87		4792.73
09/11/2021	Golf Traders-Calgary	13.39			0			0			282.64		267.69		0.3067		421.08		407.69
10/11/2021	Golf Traders-Calgary	190.98			0			0			2807.04		3819.74		0.3782		4705.72		4514.74
12/11/2021	Golf Traders-Calgary	268.05			0			0			3698.63		5360.94		0.4318		6777.99		6509.94
13/11/2021	Golf Traders-Calgary	351.22			0			0			4236.95		7024.3		0.4421		7945.51		7594.29
15/11/2021	Golf Traders-Calgary	161.8			0			0			2300.9		3236		0.4362		4242.8		4081
16/11/2021	Golf Traders-Calgary	80.58			0			0			869.3		1611.5		0.4606		1692.08		1611.5
17/11/2021	Golf Traders-Calgary	49.95			0			0			441.12		998.99		0.663		1358.94		1308.99
18/11/2021	Golf Traders-Calgary	992.2			0			0			16895.88	19844.02	0.1627		21171.22	20179.02
19/11/2021	Golf Traders-Calgary	110			0			0			1566.97		2199.99		0.4042		2739.99		2629.99
20/11/2021	Golf Traders-Calgary	192.85			0			0			2572.16		3857		0.3565		4189.85		3997
22/11/2021	Golf Traders-Calgary	80.18			0			0			696.82		1603.67		0.5655		1683.85		1603.67
23/11/2021	Golf Traders-Calgary	123.93			0			0			1636.75		2478.5		0.4162		2927.43		2803.5
24/11/2021	Golf Traders-Calgary	162.05			0			0			1983.3		3240.98		0.4477		3753.03		3590.98
25/11/2021	Golf Traders-Calgary	157.8			0			0			1914.54		3156.1		0.4233		3477.9		3320.1
26/11/2021	Golf Traders-Calgary	527.49			0			0			6333.23		10549.78	0.4141		11337.28	10809.79
27/11/2021	Golf Traders-Calgary	454.2			0			0			6465.55		9083.9		0.3146		9888.1		9433.9
29/11/2021	Golf Traders-Calgary	137.61			0			0			1816.09		2752.15		0.4248		3294.76		3157.15
30/11/2021	Golf Traders-Calgary	102.92			0			0			1044.38		2058.44		0.5505		2426.36		2323.44
01/12/2021	Golf Traders-Calgary	190.58			0			0			2049.46		3811.49		0.4833		4157.07		3966.49
02/12/2021	Golf Traders-Calgary	45.87			0			0			528.26		917.51		0.4242		963.38		917.51
03/12/2021	Golf Traders-Calgary	137.9			0			0			1534.89		2758.05		0.4611		2985.95		2848.05
04/12/2021	Golf Traders-Calgary	303.43			0			0			3908.86		6068.5		0.4076		6901.93		6598.5
06/12/2021	Golf Traders-Calgary	32.14			0			0			381.14		642.88		0.4207		690.02		657.88
07/12/2021	Golf Traders-Calgary	121.25			0			0			1638.98		2425.14		0.467		3196.39		3075.14
08/12/2021	Golf Traders-Calgary	400.76			0			0			4455.66		8015.17		0.4922		9175.93		8775.17
09/12/2021	Golf Traders-Calgary	110.84			0			0			1445.74		2216.65		0.3891		2477.49		2366.65
10/12/2021	Golf Traders-Calgary	187.79			0			0			3007.94		3755.86		0.3219		4623.65		4435.86
11/12/2021	Golf Traders-Calgary	604.13			0			0			7854.02		12082.62	0.4203		14151.75	13547.62
13/12/2021	Golf Traders-Calgary	134.46			0			0			1702.58		2689.13		0.4434		3193.59		3059.13
14/12/2021	Golf Traders-Calgary	103.26			0			0			1609.88		2065.17		0.4571		3068.43		2965.17
15/12/2021	Golf Traders-Calgary	221.35			0			0			2547.68		4426.94		0.4881		5198.29		4976.94
16/12/2021	Golf Traders-Calgary	141.55			0			0			1874.5		2830.95		0.4356		3462.5		3320.95
17/12/2021	Golf Traders-Calgary	147.99			0			0			1689.41		2959.77		0.455		3247.76		3099.77
18/12/2021	Golf Traders-Calgary	223			0			0			2630.53		4459.95		0.4325		4857.95		4634.95
20/12/2021	Golf Traders-Calgary	251.9			0			0			3174.68		5037.97		0.4298		5819.87		5567.97
21/12/2021	Golf Traders-Calgary	246.82			0			0			2728.38		4936.33		0.4809		5503.15		5256.33
